epoch,phase,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,lr
1,head,0.7539492271337479,0.7076244101555216,0.5016077170418006,0.49514563106796117,0.4935617574147686,0.482122905027933,0.0001
2,head,0.7439396238786998,0.699133393062357,0.48038585209003215,0.511326860841424,0.46737906617108443,0.4908279406789834,0.0001
3,head,0.7359832882114545,0.7182786528346607,0.5202572347266881,0.4336569579288026,0.4974883732213281,0.42896818273018156,7.500000000000001e-05
4,head,0.7286165906685341,0.7157543594783178,0.5286173633440514,0.4368932038834951,0.5019216273201,0.4311680067710537,2.500000000000001e-05
5,head,0.720987907943235,0.7132746650563089,0.5254019292604502,0.43042071197411,0.5176604394052494,0.4260385005065856,0.0
1,finetune,0.721908675666024,0.7204409469292773,0.5479099678456592,0.4077669902912621,0.5263174771134946,0.3717349036164658,1e-05
2,finetune,0.7006457863129987,0.6984562428252211,0.5909967845659164,0.46601941747572817,0.56930160123751,0.44919786096256686,1e-05
3,finetune,0.6675575388972782,0.7304276375515947,0.6308681672025723,0.39805825242718446,0.6124491121547269,0.34360438556418454,9.98292246503335e-06
4,finetune,0.6473375717926638,0.6388529486062071,0.6758842443729903,0.6116504854368932,0.6517951397404591,0.6104714681906043,9.931806517013612e-06
5,finetune,0.6171327310359747,0.5981461870149501,0.6945337620578779,0.6925566343042071,0.6753497915074275,0.6919242273180459,9.847001329696653e-06
6,finetune,0.592529498879166,0.5341972366795185,0.7305466237942122,0.7734627831715211,0.7136243424033939,0.7671188630490956,9.729086208503174e-06
7,finetune,0.5717432897957192,0.5603613990410247,0.7408360128617363,0.7281553398058253,0.7226680934546104,0.7268939393939394,9.578866633275289e-06
8,finetune,0.5512866777622432,0.48589048997580425,0.7768488745980707,0.8284789644012945,0.7596470151703654,0.821283979178716,9.397368756032445e-06
9,finetune,0.5328754722305433,0.4705787024982153,0.7832797427652733,0.8414239482200647,0.7677583216961728,0.8343163538873994,9.185832391312644e-06
10,finetune,0.5104755256336985,0.5623455435748914,0.7993569131832797,0.7087378640776699,0.7859623488554306,0.7084905660377359,8.94570254698197e-06
11,finetune,0.5089849870304586,0.4674771377654041,0.7954983922829582,0.8220064724919094,0.7816959981352178,0.8163992869875223,8.67861955336566e-06
12,finetune,0.48667212418996253,0.4367913207382832,0.82508038585209,0.8576051779935275,0.8122160775998324,0.8486912393162394,8.386407858128707e-06
13,finetune,0.4694898567590683,0.4581136977824482,0.8295819935691319,0.8252427184466019,0.8169825290098736,0.8186304347826088,8.071063563448341e-06
14,finetune,0.4812874309886307,0.4206524220352516,0.8321543408360128,0.8640776699029126,0.8192157664537907,0.8535082174462706,7.734740790612137e-06
15,finetune,0.46791703478699714,0.46593476092882913,0.8321543408360128,0.8187702265372169,0.8186729894663194,0.8123861566484518,7.379736965185369e-06
16,finetune,0.46926644277725954,0.44223696717684996,0.8443729903536977,0.8414239482200647,0.8314222690506141,0.8328457402766585,7.008477123264849e-06
17,finetune,0.46427575184984604,0.46372278252297044,0.8308681672025724,0.7928802588996764,0.8206011385125991,0.785584179026802,6.6234973460234184e-06
18,finetune,0.452451006392574,0.5638925682039009,0.8533762057877814,0.7055016181229773,0.8404249573314322,0.7047098976109215,6.227427435703997e-06
19,finetune,0.44525769603980697,0.5095312349350587,0.862379421221865,0.7702265372168284,0.8525755529801207,0.7659015973622716,5.82297295140367e-06
20,finetune,0.4317907029601155,0.5165514405756514,0.8681672025723473,0.7475728155339806,0.8549126699664334,0.7442921405533865,5.412896727361663e-06
