fold,T,t_star,val_macro_f1_at_t_star,baseline_test_macro_f1,baseline_test_f1_sutemi,baseline_test_recall_sutemi,baseline_test_precision_sutemi,calibrado_test_macro_f1,calibrado_test_f1_sutemi,calibrado_test_recall_sutemi,calibrado_test_precision_sutemi
0,2.0738966081738828,0.51,0.6685267857142857,0.6968821703333783,0.632258064516129,0.6621621621621622,0.6049382716049383,0.6985792349726776,0.6266666666666667,0.6351351351351351,0.618421052631579
1,1.1561898174860388,0.395,0.7221566931404158,0.6458536585365854,0.56,0.56,0.56,0.5992826950172923,0.572972972972973,0.7066666666666667,0.4818181818181818
2,1.6518033599087683,0.59,0.6521153630344518,0.690625,0.6,0.56,0.6461538461538462,0.6550951847704367,0.5087719298245614,0.38666666666666666,0.7435897435897436
3,0.799449729399851,0.49,0.7101449275362319,0.6532047038052902,0.4954128440366973,0.36,0.7941176470588235,0.6614420062695925,0.509090909090909,0.37333333333333335,0.8
4,1.396880714912451,0.52,0.6631326949384405,0.6788502788502788,0.5777777777777777,0.52,0.65,0.6830481205206962,0.5736434108527132,0.49333333333333335,0.6851851851851852
5,1.19587423892222,0.56,0.7341965380945891,0.7195994277539342,0.6666666666666666,0.726027397260274,0.6162790697674418,0.7408264462809917,0.68,0.6986301369863014,0.6623376623376623
6,1.482321432487721,0.495,0.680523869877482,0.7101976284584981,0.591304347826087,0.4788732394366197,0.7727272727272727,0.713064713064713,0.5982905982905983,0.49295774647887325,0.7608695652173914
