epoch,phase,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,lr
1,head,0.7273074580348937,0.7011329793930053,0.5445344129554656,0.485,0.5117547836170997,0.4803097959080703,0.0001
2,head,0.7357145480298803,0.6910049724578857,0.5121457489878543,0.54,0.5030035859351192,0.5093333333333333,0.0001
3,head,0.7137446664122917,0.713705381155014,0.5738866396761133,0.44,0.5501392471461094,0.4288045695634435,7.500000000000001e-05
4,head,0.719316270790602,0.6793619692325592,0.5232793522267206,0.575,0.5106045771052192,0.5137160673932321,2.500000000000001e-05
5,head,0.7195139159316476,0.6921937823295593,0.5617408906882592,0.53,0.5315038279875113,0.5276856597326902,0.0
1,finetune,0.7178831298341636,0.6651571863889694,0.555668016194332,0.605,0.5461606474869074,0.5228171906617136,1e-05
2,finetune,0.7093361577524347,0.7630724173784256,0.5718623481781376,0.4,0.556305796995283,0.3315508021390374,1e-05
3,finetune,0.6720438203830951,0.6809646320343018,0.6508097165991903,0.555,0.6378356841182564,0.5490360011147425,9.98292246503335e-06
4,finetune,0.6557546599432524,0.6910662120580673,0.6437246963562753,0.565,0.6323207889472949,0.5459171690284192,9.931806517013612e-06
5,finetune,0.6491637266116587,0.7344959425926209,0.6680161943319838,0.505,0.6486425535605864,0.5049876246906173,9.847001329696653e-06
6,finetune,0.6094673931116035,0.7133743214607239,0.694331983805668,0.54,0.6812712574133895,0.5398159263705482,9.729086208503174e-06
7,finetune,0.5920482267011032,0.6477892881631852,0.7257085020242915,0.61,0.711806082524716,0.5623386825272135,9.578866633275289e-06
8,finetune,0.585539081077344,0.6632857882976532,0.7155870445344129,0.59,0.7068041816321207,0.5889724310776943,9.397368756032445e-06
9,finetune,0.5712770438387327,0.6488228130340576,0.7388663967611336,0.595,0.7244483648769604,0.5913115870733369,9.185832391312644e-06
10,finetune,0.545965843174139,0.634178768992424,0.7732793522267206,0.62,0.7609939004371642,0.6161616161616161,8.94570254698197e-06
11,finetune,0.5134337134206826,0.610861309170723,0.7975708502024291,0.635,0.7889213625254234,0.6292063492063492,8.67861955336566e-06
12,finetune,0.49126737839297246,0.5720069694519043,0.8218623481781376,0.69,0.8132646048109966,0.6675246675246675,8.386407858128707e-06
13,finetune,0.4979593947469464,0.5680153581500054,0.8026315789473685,0.705,0.7935700930573935,0.6651437327960499,8.071063563448341e-06
14,finetune,0.46920573198602267,0.5809169951081276,0.8238866396761133,0.695,0.8155537721395127,0.6450909090909092,7.734740790612137e-06
