epoch,phase,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,lr
1,head,0.7378039134417468,0.6786518430709839,0.5040485829959515,0.61,0.4761513157894737,0.5983935742971888,0.0001
2,head,0.7364728646239771,0.6739573287963867,0.5172064777327935,0.61,0.5103397041939624,0.5920075321686369,0.0001
3,head,0.7171784407696743,0.6920921981334687,0.5374493927125507,0.515,0.513086876673536,0.5059967915255532,7.500000000000001e-05
4,head,0.7255670620120971,0.6712372314929962,0.5060728744939271,0.615,0.4953527707534373,0.5981105978757275,2.500000000000001e-05
5,head,0.7235774572802941,0.6780766606330871,0.548582995951417,0.6,0.5267955326460481,0.5998399359743898,0.0
1,finetune,0.7229210832099683,0.6646414875984192,0.5404858299595142,0.62,0.5296441858806851,0.5876736111111112,1e-05
2,finetune,0.7127152573965821,0.7649329847097397,0.5617408906882592,0.405,0.5447261411804019,0.31354734504340803,1e-05
3,finetune,0.6783194084640457,0.683219832777977,0.6305668016194332,0.525,0.6171433000077502,0.5174603174603174,9.98292246503335e-06
4,finetune,0.6670425476332907,0.7017415219545364,0.618421052631579,0.53,0.6060618559753955,0.5288220551378446,9.931806517013612e-06
5,finetune,0.66052806244688,0.7161213946342468,0.652834008097166,0.485,0.6320154106930143,0.47232254924562617,9.847001329696653e-06
6,finetune,0.6150410460074421,0.6534530073404312,0.6791497975708503,0.615,0.6682607723945375,0.6088888888888889,9.729086208503174e-06
7,finetune,0.6030369971686529,0.647425792813301,0.7176113360323887,0.595,0.7038467943380516,0.5503871666065333,9.578866633275289e-06
8,finetune,0.5908941729107366,0.6762317705154419,0.7115384615384616,0.565,0.7017486439509248,0.5649021029731689,9.397368756032445e-06
9,finetune,0.5675053308125932,0.682660374045372,0.7550607287449392,0.555,0.7410262075897596,0.5540970465192014,9.185832391312644e-06
10,finetune,0.5544100411025136,0.7082965278625488,0.7692307692307693,0.555,0.7574206887639723,0.552482715273413,8.94570254698197e-06
11,finetune,0.522760752844907,0.6416709798574448,0.7854251012145749,0.61,0.7746544334085002,0.604301948051948,8.67861955336566e-06
12,finetune,0.5022515571310453,0.6558958721160889,0.8238866396761133,0.615,0.8146988824503312,0.6067315304272325,8.386407858128707e-06
13,finetune,0.5103055965683239,0.6162559965252876,0.7995951417004049,0.665,0.7922315166088186,0.6353840711817366,8.071063563448341e-06
14,finetune,0.47818822495126534,0.6555902999639511,0.832995951417004,0.61,0.8257854987961437,0.6052232007288187,7.734740790612137e-06
15,finetune,0.46074631176738123,0.7527551400661469,0.8421052631578947,0.555,0.8325511055486023,0.55311189776807,7.379736965185369e-06
16,finetune,0.460162138588998,0.6465833467245102,0.8451417004048583,0.645,0.8374439064047514,0.6410424934907354,7.008477123264849e-06
17,finetune,0.42659430042934804,0.7188440802693367,0.8643724696356275,0.58,0.8571607362492717,0.5796216594935442,6.6234973460234184e-06
18,finetune,0.409663829907232,0.6078065580129624,0.8734817813765182,0.685,0.8666904141232601,0.6549741230592294,6.227427435703997e-06
19,finetune,0.4210518194958266,0.7247907346487046,0.8643724696356275,0.605,0.8564576285887762,0.6041985019664822,5.82297295140367e-06
20,finetune,0.399110807219015,0.697424898892641,0.881578947368421,0.595,0.8749793157151895,0.5850303542611235,5.412896727361663e-06
21,finetune,0.40451461197393623,0.669372112751007,0.8856275303643725,0.64,0.8799422315276922,0.6317135549872123,5e-06
22,finetune,0.3994208244900954,0.6484865295886993,0.8947368421052632,0.665,0.888481291269259,0.641701649776732,4.587103272638339e-06
23,finetune,0.3828213732493551,0.727499189376831,0.9018218623481782,0.605,0.8953891361275118,0.6045155315261195,4.17702704859633e-06
24,finetune,0.36742890001791206,0.6331932142376899,0.909919028340081,0.655,0.9061893559933215,0.639865340953574,3.7725725642960047e-06
25,finetune,0.3619666163496643,0.6561382687091828,0.9220647773279352,0.635,0.9173912146453705,0.620572260193872,3.3765026539765832e-06
26,finetune,0.3783820803590149,0.6672980922460556,0.9038461538461539,0.64,0.8989726119551587,0.6279454319966928,2.991522876735154e-06
27,finetune,0.36465347651769275,0.6541011886298657,0.909919028340081,0.64,0.9048048994103083,0.6198923028191321,2.6202630348146323e-06
28,finetune,0.35667007437601744,0.637194322347641,0.9251012145748988,0.66,0.921193777593819,0.6427070197562001,2.265259209387867e-06
29,finetune,0.36173675067511646,0.6356431287527085,0.917004048582996,0.665,0.9124215733329875,0.6517581018217729,1.928936436551661e-06
30,finetune,0.3420241355654682,0.6334283870458602,0.937246963562753,0.655,0.933846526013858,0.642773938029044,1.6135921418712959e-06
31,finetune,0.35676202159902826,0.6545633643865585,0.9200404858299596,0.655,0.9157483417259005,0.6441005802707931,1.321380446634342e-06
32,finetune,0.36383569107847175,0.674696654677391,0.9200404858299596,0.635,0.9160658078821919,0.6282243894986123,1.0542974530180327e-06
33,finetune,0.34191274848061537,0.6568325555324555,0.9291497975708503,0.645,0.9252379284549892,0.6324195594211902,8.141676086873574e-07
34,finetune,0.33899520331548777,0.6577926510572434,0.9331983805668016,0.65,0.9293707838881162,0.6395839769333744,6.026312439675553e-07
35,finetune,0.3481674579232328,0.6692497855424882,0.9402834008097166,0.625,0.9368302190222404,0.6180387563341907,4.211333667247125e-07
36,finetune,0.35568446638854406,0.6419082182645798,0.9210526315789473,0.665,0.9173913043478261,0.6353840711817366,2.7091379149682683e-07
37,finetune,0.3358987841890891,0.6402420702576638,0.9402834008097166,0.66,0.9371381306865179,0.6443142588136834,1.5299867030334815e-07
38,finetune,0.3464643257832238,0.8050966694951057,0.9281376518218624,0.555,0.9243526657414027,0.552482715273413,6.819348298638839e-08
39,finetune,0.33797092289335817,0.6506442433595657,0.944331983805668,0.65,0.9413999523348895,0.630450849963045,1.7077534966650767e-08
40,finetune,0.3487686876222672,0.648906497657299,0.9352226720647774,0.64,0.931712542982047,0.6198923028191321,0.0
