epoch,phase,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,lr
1,head,0.7255711202922556,0.6928335706137384,0.5270618556701031,0.5305466237942122,0.506336508376741,0.5287878787878788,0.0001
2,head,0.7279157603217155,0.6858969610603676,0.5270618556701031,0.5530546623794212,0.509951802543573,0.5476481975618689,0.0001
3,head,0.7246687091195706,0.6763187648782393,0.5270618556701031,0.5884244372990354,0.5104370263027159,0.5730587730587731,7.500000000000001e-05
4,head,0.7136642304585152,0.7023605301832463,0.5753865979381443,0.4758842443729904,0.5319086030732617,0.4679408461643419,2.500000000000001e-05
5,head,0.711475580393039,0.7111235283962016,0.553479381443299,0.45980707395498394,0.5367421594458148,0.44605597964376587,0.0
1,finetune,0.6980973930702996,0.705481564691979,0.571520618556701,0.5144694533762058,0.5531113294383712,0.5099091013452166,1e-05
2,finetune,0.6863330509705642,0.6971017198930599,0.5985824742268041,0.5369774919614148,0.5843694050942791,0.5334611217601467,1e-05
3,finetune,0.6528848968062204,0.6619499567237315,0.6527061855670103,0.6012861736334405,0.6309286037302979,0.6009519867549669,9.98292246503335e-06
4,finetune,0.623110111533981,0.6168577263784562,0.6932989690721649,0.6881028938906752,0.6768652316241246,0.681126790338777,9.931806517013612e-06
5,finetune,0.6017464869415637,0.5811800705658278,0.7235824742268041,0.7106109324758842,0.7040199546299784,0.6990322580645161,9.847001329696653e-06
6,finetune,0.5637370558436384,0.5745454700813416,0.7577319587628866,0.7170418006430869,0.7445938375350141,0.7125210084033613,9.729086208503174e-06
7,finetune,0.5493443746542194,0.485733632489416,0.782860824742268,0.7942122186495176,0.7671614814616958,0.7677371172516804,9.578866633275289e-06
8,finetune,0.5274811150870987,0.49811387100403715,0.782860824742268,0.7845659163987139,0.767657962014042,0.7676127809067084,9.397368756032445e-06
9,finetune,0.5132224704186941,0.48231885805007346,0.791881443298969,0.7813504823151125,0.7748375722867891,0.7544128576737272,9.185832391312644e-06
10,finetune,0.4842698211906497,0.4595019365046952,0.8273195876288659,0.8102893890675241,0.8136741232376952,0.7783856903027888,8.94570254698197e-06
11,finetune,0.48633765049048305,0.4762380252505422,0.833118556701031,0.7781350482315113,0.8207944076270979,0.7606758489934757,8.67861955336566e-06
12,finetune,0.4608633350772956,0.4593774614035125,0.8434278350515464,0.797427652733119,0.8329322051242523,0.7750955611419126,8.386407858128707e-06
13,finetune,0.44959968512820214,0.46203645728408715,0.8576030927835051,0.797427652733119,0.8466375047563603,0.7719224724986904,8.071063563448341e-06
14,finetune,0.44080776337188543,0.47869825214626704,0.8634020618556701,0.77491961414791,0.85238464409797,0.7145741556534508,7.734740790612137e-06
15,finetune,0.4122954560923822,0.4821811264734176,0.8865979381443299,0.7588424437299035,0.8780900150138088,0.7451850071555765,7.379736965185369e-06
16,finetune,0.424891575940491,0.4510219015684159,0.8698453608247423,0.8070739549839229,0.860384914103304,0.78005657708628,7.008477123264849e-06
17,finetune,0.4075189190580673,0.46905677748838037,0.8833762886597938,0.7845659163987139,0.8734333598110187,0.7676127809067084,6.6234973460234184e-06
18,finetune,0.3867854483271997,0.44386879323571443,0.9027061855670103,0.8231511254019293,0.8955210639061458,0.7945715486699093,6.227427435703997e-06
19,finetune,0.3773230311566407,0.45127823905737835,0.9085051546391752,0.8038585209003215,0.901783883900479,0.7681855395481261,5.82297295140367e-06
20,finetune,0.3862038941804281,0.4643068350492183,0.8994845360824743,0.797427652733119,0.8909576336682358,0.7633609913402659,5.412896727361663e-06
21,finetune,0.37098589547208904,0.4554458061694332,0.9110824742268041,0.8070739549839229,0.9039836458025123,0.7726608187134503,5e-06
22,finetune,0.3618429813956477,0.4527938083724577,0.9265463917525774,0.797427652733119,0.9210355779066716,0.778000611849485,4.587103272638339e-06
23,finetune,0.37095118045192405,0.45977404694465196,0.9181701030927835,0.8038585209003215,0.9115363503717777,0.7734129590922663,4.17702704859633e-06
24,finetune,0.36231935972866325,0.45501848401268197,0.9117268041237113,0.8167202572347267,0.9056788162829849,0.7871014231669969,3.7725725642960047e-06
25,finetune,0.3567026645406005,0.4535541574431769,0.9336340206185567,0.8135048231511254,0.9283084616160824,0.78846514682428,3.3765026539765832e-06
26,finetune,0.35410067335385637,0.45920518565312074,0.9375,0.797427652733119,0.9321181295330596,0.7730111102100397,2.991522876735154e-06
27,finetune,0.3400865378069509,0.45874065972888584,0.9355670103092784,0.8135048231511254,0.930475419118543,0.7839656989556386,2.6202630348146323e-06
28,finetune,0.3457091547471961,0.4651470374543567,0.9329896907216495,0.7909967845659164,0.9278561557014054,0.7544368994545743,2.265259209387867e-06
29,finetune,0.3289737142622471,0.46085476968736894,0.9516752577319587,0.797427652733119,0.9478369123754237,0.7545382794001578,1.928936436551661e-06
30,finetune,0.3410990795062989,0.46438087954206864,0.9400773195876289,0.7909967845659164,0.9353664319750234,0.7728064556008856,1.6135921418712959e-06
31,finetune,0.3528023543431587,0.4538125605636854,0.9304123711340206,0.8167202572347267,0.9249134526480265,0.7905129932286312,1.321380446634342e-06
32,finetune,0.33417003117885785,0.46795301469959244,0.9439432989690721,0.7813504823151125,0.9395815761036148,0.7636989362653079,1.0542974530180327e-06
33,finetune,0.3368544642688687,0.4515872713645555,0.9375,0.8135048231511254,0.9317354576672684,0.7851391271202592,8.141676086873574e-07
34,finetune,0.35183639728377775,0.4531872527152779,0.9259020618556701,0.8135048231511254,0.9197721182938718,0.78846514682428,6.026312439675553e-07
35,finetune,0.3348048145393121,0.45659290222972154,0.9381443298969072,0.8038585209003215,0.9336482760094911,0.7734129590922663,4.211333667247125e-07
36,finetune,0.3388502633909589,0.4606733537515643,0.9439432989690721,0.7909967845659164,0.9395363395895382,0.7718937949244535,2.7091379149682683e-07
37,finetune,0.33559787642095507,0.45598806234801315,0.9432989690721649,0.8038585209003215,0.9386318703044683,0.7832009599451459,1.5299867030334815e-07
38,finetune,0.3388179815230296,0.4639471344338353,0.9432989690721649,0.7845659163987139,0.9384889215564407,0.7648751424605906,6.819348298638839e-08
39,finetune,0.32466519923554255,0.459363337785868,0.9490979381443299,0.8070739549839229,0.9446710556895066,0.7699023379698136,1.7077534966650767e-08
40,finetune,0.339156829934452,0.4544768353079676,0.9387886597938144,0.8006430868167203,0.9339267556755366,0.7781638288080994,0.0
